"beta","gamma","rho","psi","p","q","pop","S_0","E_0","I_0","R_0","sigma","intervention","spring0","spring1","summer0","loglik","loglik.se"
1.28078097131561,0.762662640448702,0.959933259694747,0.496213274800009,0.0358172825113481,2.54448627325388,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-229.712192224077,0.177780929616165
1.35527083301442,0.903990600129124,0.946052844084009,0.517256461610306,0.0769576720767698,2.57220431905275,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-229.843847749212,0.253604806716823
1.70605854360075,0.93267309415293,0.962031126466451,0.470246345866879,0.0943868810260944,3.08727597287485,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-229.852358232339,0.510061645114658
1.15524291915975,0.723946543664959,0.939120084567906,0.514625731640785,0.0716414845448804,2.39748182907014,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.125546376679,0.182671032597416
1.68238580980456,0.865085812614997,0.981456065184097,0.503242778762399,0.0776680739889457,3.16492828441117,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.166030429921,0.294438058036966
1.74098107015147,0.933148018500836,0.913798672208562,0.572538001033968,0.0608295274882356,3.1432830261022,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.320719443643,0.148087109769756
1.44743712022871,0.957608350550324,0.955298306140955,0.503069534795827,0.139403618105048,1.72331501884489,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.362012920648,0.179096021262282
1.46697392182476,0.714741842263817,0.929655325482311,0.489725368916905,0.0472014079670812,3.52621339664917,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.65981893478,0.206573454567965
1.36852683322427,0.944747369629035,0.862108031569329,0.444901065698689,0.0371878432748637,2.13706808592938,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.673209687307,0.22519111781085
1.18372153528561,0.803543668948267,0.8685699351411,0.546939319803099,0.00623408292534328,1.93883870795729,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.68716294415,0.184103754792211
1.10750926166388,0.755346958048423,0.963914773203872,0.549008132888486,0.183440493312021,2.06132003360798,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.718603622037,0.232711066579877
1.24393874255905,0.825497922898256,0.950576598708858,0.565420443926416,0.195059397634402,2.08920843116789,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.748791220528,0.157806430600542
1.74463292191995,0.958068892384828,0.848623429473844,0.626515284996935,0.0830466130259098,3.01086071678051,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.780577988823,0.168886814615775
1.29362658399125,0.868005330775279,0.963195115419327,0.594093736862904,0.0526576316415762,1.73482558684733,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.81700348592,0.205484425053711
1.32697296376352,0.903047832020125,0.910765479466603,0.516432298254973,0.10379135230013,1.89397779924598,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.885726848719,0.412813868625429
1.49505005606205,0.873254496893501,0.871709611857016,0.599845055491737,0.180707124805423,2.76695983009099,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.915280145626,0.234974842513017
1.7141211248208,0.957415056995342,0.964720427769228,0.320724414513605,0.0581021514886977,2.50587528834806,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.919327429365,0.40971870264582
1.19729587888185,0.742397768362705,0.988854752410234,0.540798145313002,0.0403983658908344,2.94407223761923,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.93389353177,0.218402336482532
1.45496112204368,0.855495138335606,0.796489539232749,0.466436878344868,0.0634931830219834,2.97763208168252,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.943049005224,0.243886986556573
1.4699002902581,0.952419024687585,0.891302733772058,0.627498852205193,0.13202218876805,2.79468710288772,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.975700569394,0.162390913013501
1.42708746520784,0.840522033589665,0.856975096767385,0.609602715549197,0.0463965618682418,2.42295012807114,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-230.983258775505,0.169653887099911
1.16371126871901,0.929727511678689,0.99701097105433,0.497828440619385,0.0438631949065987,1.89159331544023,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.001698019096,0.403422554118811
1.38152835800365,0.940624290385331,0.865809081039214,0.626884379031962,0.0500208206365668,2.2980219958316,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.027989193386,0.175141341941839
1.0804324251018,0.626819857473734,0.972389209392646,0.568149949487535,0.106884929590758,2.11416145475063,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.06433606143,0.249720270307158
1.20411970153768,0.80676690812676,0.982804144717916,0.582050627698272,0.327738084242015,2.12214204104826,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.091863186085,0.428147827344971
1.41634209864721,0.811829477587531,0.822107008577744,0.568335333777752,0.116031394842076,2.76212381817936,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.179997857476,0.320390111176476
1.47120534247979,0.981823591327025,0.899449095340384,0.540574253215195,0.321445817629011,2.8956067894739,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.291045378065,0.36039511016341
1.19208406769199,0.860873187285701,0.91472676284174,0.56573505384776,0.174178397031154,1.85681719391825,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.345737011122,0.167794743240528
1.28951856682083,0.904538608993272,0.895916408293628,0.592299373296189,0.188376135680866,2.22906897755599,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.356753864579,0.439778823915812
1.09699349650714,0.850183220082896,0.930134508329026,0.557927355550561,0.141061799454635,1.81078420844419,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.393009991806,0.497616683725706
1.15983987233892,0.830420137521123,0.963663165130407,0.494757896754401,0.418619798221532,1.65321308729823,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.505303304493,0.27738773116563
1.35471155154422,0.894395644719308,0.857546935126243,0.58490665718205,0.30138267102821,2.06224673726374,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.566872791159,0.194648697909714
1.20670058448072,0.836053239016951,0.833053006974449,0.626804033949888,0.040111737916776,1.81641485692102,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.65501872464,0.205222526643375
1.14394362613385,0.875898052195331,0.915616295741229,0.516607493376695,0.211367495736845,1.62093638733696,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.664674566494,0.384111316763593
1.14221916396888,0.859808337829397,0.887138941577116,0.560073562214269,0.134735093385926,1.72708874830949,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.71427424425,0.243586444131952
1.04313390995824,0.694475550486346,0.898319772205645,0.548478816688701,0.173953783651274,2.4146025404517,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.727789254427,0.441268894813918
1.27586520262375,0.882554250096884,0.906625025628431,0.589802963512042,0.481424284314477,2.07200974100638,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.844759017377,0.268831742442783
1.25885336777993,0.804433158168559,0.943039979807173,0.554570064188137,0.497315375524978,2.1445169283852,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.905755484229,0.215240050031078
1.12530754701557,0.721767508840824,0.83522617092605,0.553952843034391,0.100116703668164,2.07532266174746,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.908654586652,0.177570121449523
1.07829199768175,0.831278543691644,0.910499161250207,0.596113117201194,0.0274706818633864,1.59587568735055,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-231.989184486136,0.133911350245136
